모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_A12,260903-A01,SAMPLE_1,0.40,12,10,2,83.33

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1,GOOD,69,0.009,0.010,0.009,0.015,0.017,0.024,0.027,0.034,0.040,0.049,0.061,0.069,0.077,0.088,0.101,0.111,0.125,0.137,0.152,0.168,0.183,0.195,0.211,0.225,0.241,0.258,0.272,0.288,0.308,0.322,0.337,0.355,0.373,0.384,0.401,0.418,0.429,0.447,0.462,0.472,0.487,0.499,0.511,0.524,0.535,0.545,0.552,0.562,0.571,0.576,0.584,0.588,0.594,0.596,0.598,0.602,0.600,0.592,0.588,0.578,0.575,0.565,0.562,0.555,0.544,0.538,0.533,0.528,0.520,,,
2,GOOD,70,0.008,0.006,0.013,0.009,0.014,0.020,0.025,0.029,0.036,0.042,0.053,0.061,0.070,0.081,0.093,0.104,0.113,0.122,0.138,0.149,0.164,0.178,0.190,0.202,0.215,0.231,0.244,0.258,0.272,0.284,0.300,0.316,0.327,0.342,0.355,0.369,0.385,0.396,0.407,0.420,0.437,0.443,0.457,0.465,0.476,0.490,0.496,0.503,0.512,0.519,0.523,0.533,0.539,0.538,0.540,0.545,0.545,0.543,0.539,0.532,0.522,0.522,0.515,0.506,0.503,0.498,0.488,0.480,0.477,0.472,,
3,GOOD,56,0.011,0.010,0.010,0.016,0.019,0.025,0.030,0.038,0.046,0.057,0.067,0.078,0.096,0.105,0.121,0.136,0.147,0.164,0.180,0.192,0.210,0.226,0.240,0.261,0.273,0.288,0.305,0.320,0.338,0.351,0.368,0.382,0.392,0.409,0.423,0.431,0.444,0.451,0.459,0.472,0.474,0.483,0.487,0.492,0.495,0.496,0.487,0.480,0.473,0.467,0.462,0.450,0.444,0.437,0.435,0.426,,,,,,,,,,,,,,,,
4,GOOD,59,0.008,0.008,0.009,0.012,0.020,0.026,0.032,0.039,0.050,0.057,0.068,0.080,0.090,0.103,0.119,0.135,0.146,0.166,0.182,0.194,0.209,0.228,0.246,0.263,0.280,0.292,0.312,0.328,0.345,0.357,0.378,0.391,0.408,0.420,0.436,0.450,0.462,0.470,0.486,0.496,0.501,0.512,0.522,0.524,0.534,0.538,0.538,0.541,0.537,0.529,0.520,0.518,0.509,0.500,0.493,0.484,0.481,0.472,0.464,,,,,,,,,,,,,
5,NG,54,0.006,0.010,0.013,0.013,0.014,0.022,0.029,0.033,0.043,0.047,0.055,0.065,0.076,0.087,0.099,0.110,0.122,0.136,0.143,0.159,0.173,0.181,0.196,0.206,0.225,0.237,0.247,0.262,0.272,0.280,0.292,0.306,0.313,0.324,0.336,0.342,0.346,0.357,0.364,0.366,0.372,0.373,0.378,0.376,0.378,0.371,0.362,0.361,0.355,0.348,0.340,0.337,0.329,0.329,,,,,,,,,,,,,,,,,,
6,GOOD,72,0.008,0.011,0.010,0.009,0.012,0.020,0.025,0.030,0.036,0.038,0.050,0.057,0.063,0.075,0.082,0.094,0.104,0.114,0.126,0.134,0.145,0.156,0.167,0.180,0.196,0.209,0.218,0.231,0.243,0.261,0.273,0.284,0.295,0.313,0.322,0.334,0.347,0.362,0.370,0.386,0.396,0.409,0.416,0.429,0.440,0.446,0.455,0.465,0.474,0.476,0.485,0.491,0.499,0.504,0.506,0.506,0.512,0.511,0.512,0.508,0.503,0.498,0.493,0.483,0.480,0.475,0.472,0.464,0.460,0.453,0.449,0.440
7,GOOD,51,0.011,0.009,0.014,0.015,0.021,0.029,0.038,0.049,0.060,0.077,0.088,0.103,0.118,0.134,0.153,0.169,0.189,0.211,0.228,0.249,0.266,0.290,0.305,0.325,0.345,0.363,0.383,0.403,0.416,0.434,0.450,0.464,0.481,0.495,0.507,0.512,0.523,0.532,0.535,0.540,0.542,0.544,0.536,0.531,0.522,0.510,0.503,0.497,0.485,0.480,0.468,,,,,,,,,,,,,,,,,,,,,
8,GOOD,66,0.010,0.011,0.007,0.012,0.018,0.024,0.030,0.036,0.042,0.050,0.063,0.071,0.079,0.094,0.105,0.116,0.130,0.146,0.161,0.176,0.187,0.205,0.216,0.236,0.250,0.267,0.282,0.296,0.317,0.332,0.346,0.361,0.378,0.393,0.410,0.425,0.439,0.452,0.464,0.478,0.487,0.500,0.512,0.524,0.531,0.539,0.549,0.555,0.563,0.566,0.573,0.576,0.575,0.580,0.572,0.563,0.561,0.551,0.548,0.536,0.531,0.526,0.520,0.512,0.507,0.497,,,,,,
9,GOOD,60,0.009,0.009,0.010,0.015,0.017,0.023,0.034,0.044,0.049,0.060,0.072,0.084,0.096,0.116,0.127,0.143,0.162,0.176,0.190,0.211,0.225,0.248,0.261,0.282,0.302,0.319,0.336,0.355,0.374,0.388,0.411,0.428,0.441,0.456,0.475,0.487,0.501,0.516,0.531,0.540,0.551,0.563,0.574,0.580,0.583,0.593,0.593,0.598,0.598,0.594,0.588,0.578,0.571,0.562,0.555,0.549,0.540,0.534,0.526,0.517,,,,,,,,,,,,
10,NG,49,0.007,0.011,0.009,0.013,0.020,0.027,0.030,0.038,0.047,0.059,0.070,0.082,0.091,0.105,0.119,0.130,0.144,0.155,0.173,0.189,0.199,0.213,0.229,0.244,0.257,0.269,0.285,0.294,0.310,0.319,0.331,0.339,0.350,0.357,0.364,0.369,0.376,0.382,0.381,0.382,0.379,0.372,0.366,0.365,0.356,0.351,0.346,0.340,0.334,,,,,,,,,,,,,,,,,,,,,,,
