모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_A12,260904-A01,SAMPLE_1,0.40,12,10,2,83.33

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
1,GOOD,61,0.008,0.006,0.012,0.013,0.019,0.026,0.032,0.037,0.048,0.056,0.071,0.083,0.091,0.108,0.118,0.134,0.148,0.167,0.184,0.198,0.213,0.235,0.248,0.264,0.284,0.300,0.316,0.336,0.354,0.368,0.388,0.403,0.419,0.435,0.447,0.464,0.479,0.492,0.506,0.514,0.529,0.535,0.546,0.557,0.563,0.569,0.574,0.575,0.582,0.581,0.572,0.569,0.561,0.550,0.544,0.537,0.530,0.523,0.516,0.506,0.501,,,,,,,
2,GOOD,58,0.007,0.008,0.009,0.013,0.018,0.024,0.030,0.038,0.045,0.055,0.064,0.075,0.081,0.096,0.109,0.121,0.137,0.149,0.164,0.176,0.188,0.208,0.223,0.236,0.248,0.262,0.279,0.296,0.311,0.324,0.336,0.350,0.364,0.377,0.385,0.398,0.410,0.419,0.433,0.439,0.445,0.455,0.459,0.467,0.465,0.471,0.471,0.473,0.467,0.456,0.454,0.446,0.441,0.434,0.425,0.419,0.413,0.408,,,,,,,,,,
3,GOOD,59,0.006,0.011,0.012,0.016,0.017,0.021,0.026,0.034,0.043,0.050,0.058,0.072,0.083,0.092,0.103,0.115,0.129,0.139,0.157,0.171,0.185,0.199,0.214,0.229,0.244,0.258,0.271,0.287,0.298,0.314,0.329,0.341,0.350,0.365,0.377,0.387,0.397,0.411,0.420,0.430,0.436,0.447,0.450,0.457,0.463,0.462,0.469,0.467,0.465,0.457,0.455,0.446,0.443,0.434,0.429,0.422,0.414,0.412,0.406,,,,,,,,,
4,GOOD,62,0.007,0.006,0.012,0.013,0.016,0.024,0.027,0.033,0.047,0.051,0.065,0.074,0.087,0.096,0.112,0.121,0.135,0.153,0.167,0.177,0.194,0.210,0.224,0.244,0.257,0.276,0.290,0.308,0.324,0.335,0.350,0.368,0.385,0.394,0.408,0.427,0.439,0.448,0.463,0.472,0.485,0.492,0.503,0.513,0.515,0.526,0.527,0.531,0.538,0.537,0.541,0.535,0.523,0.519,0.511,0.508,0.500,0.493,0.488,0.478,0.469,0.463,,,,,,
5,NG,67,0.011,0.006,0.010,0.012,0.012,0.019,0.020,0.022,0.027,0.033,0.038,0.042,0.053,0.057,0.067,0.073,0.083,0.089,0.094,0.107,0.113,0.121,0.133,0.141,0.153,0.158,0.167,0.182,0.187,0.197,0.207,0.216,0.225,0.237,0.247,0.256,0.261,0.269,0.280,0.288,0.295,0.302,0.309,0.314,0.318,0.324,0.328,0.335,0.342,0.342,0.346,0.348,0.348,0.351,0.352,0.350,0.344,0.338,0.338,0.330,0.330,0.324,0.322,0.313,0.310,0.305,0.306,
6,GOOD,58,0.011,0.008,0.011,0.016,0.016,0.020,0.029,0.036,0.041,0.051,0.063,0.069,0.083,0.092,0.108,0.120,0.134,0.143,0.160,0.171,0.184,0.200,0.213,0.230,0.244,0.256,0.271,0.289,0.302,0.315,0.327,0.342,0.357,0.365,0.382,0.393,0.404,0.412,0.423,0.428,0.438,0.441,0.448,0.456,0.455,0.458,0.460,0.460,0.451,0.447,0.440,0.438,0.432,0.425,0.416,0.411,0.403,0.396,,,,,,,,,,
7,GOOD,53,0.010,0.011,0.008,0.016,0.018,0.026,0.033,0.044,0.052,0.068,0.079,0.089,0.103,0.119,0.134,0.152,0.163,0.181,0.199,0.216,0.236,0.253,0.271,0.285,0.302,0.320,0.338,0.351,0.372,0.385,0.402,0.417,0.427,0.443,0.453,0.467,0.472,0.483,0.491,0.497,0.503,0.505,0.504,0.501,0.496,0.491,0.482,0.473,0.466,0.458,0.451,0.441,0.437,,,,,,,,,,,,,,,
8,GOOD,59,0.006,0.007,0.013,0.015,0.023,0.029,0.033,0.045,0.055,0.063,0.079,0.087,0.104,0.116,0.134,0.152,0.166,0.183,0.203,0.220,0.235,0.257,0.276,0.295,0.312,0.333,0.348,0.370,0.388,0.404,0.425,0.440,0.457,0.474,0.489,0.508,0.520,0.531,0.549,0.560,0.570,0.582,0.586,0.596,0.601,0.607,0.605,0.608,0.609,0.598,0.593,0.583,0.576,0.565,0.557,0.551,0.541,0.531,0.525,,,,,,,,,
9,GOOD,68,0.009,0.007,0.012,0.013,0.016,0.021,0.022,0.031,0.036,0.042,0.049,0.058,0.069,0.078,0.082,0.093,0.107,0.113,0.127,0.139,0.152,0.163,0.172,0.185,0.203,0.212,0.228,0.240,0.252,0.263,0.275,0.291,0.303,0.318,0.330,0.341,0.351,0.361,0.371,0.387,0.397,0.404,0.413,0.426,0.432,0.437,0.450,0.453,0.459,0.465,0.471,0.471,0.479,0.480,0.483,0.483,0.472,0.471,0.465,0.457,0.456,0.447,0.441,0.435,0.430,0.426,0.417,0.417
10,NG,55,0.009,0.009,0.013,0.013,0.018,0.020,0.024,0.029,0.038,0.047,0.052,0.061,0.070,0.077,0.090,0.097,0.112,0.123,0.128,0.140,0.155,0.167,0.177,0.190,0.202,0.210,0.220,0.231,0.246,0.258,0.268,0.278,0.284,0.291,0.304,0.313,0.315,0.323,0.332,0.335,0.341,0.346,0.344,0.349,0.350,0.345,0.343,0.333,0.330,0.323,0.322,0.313,0.314,0.309,0.301,,,,,,,,,,,,,
11,GOOD,51,0.006,0.010,0.012,0.017,0.022,0.031,0.042,0.055,0.065,0.077,0.093,0.108,0.128,0.141,0.163,0.179,0.201,0.221,0.244,0.263,0.285,0.302,0.325,0.345,0.368,0.387,0.406,0.423,0.446,0.464,0.477,0.493,0.506,0.524,0.537,0.547,0.555,0.567,0.569,0.574,0.578,0.580,0.568,0.560,0.552,0.546,0.536,0.523,0.515,0.511,0.499,,,,,,,,,,,,,,,,,
12,GOOD,65,0.006,0.007,0.013,0.011,0.015,0.022,0.029,0.037,0.041,0.048,0.060,0.071,0.077,0.089,0.105,0.112,0.129,0.142,0.154,0.165,0.182,0.195,0.210,0.225,0.240,0.260,0.276,0.290,0.303,0.322,0.336,0.349,0.365,0.379,0.395,0.406,0.422,0.433,0.443,0.456,0.469,0.478,0.487,0.499,0.507,0.515,0.522,0.530,0.535,0.541,0.540,0.541,0.547,0.542,0.533,0.531,0.520,0.517,0.511,0.500,0.496,0.491,0.483,0.476,0.468,,,
