모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_A12,260906-A01,SAMPLE_1,0.40,12,10,2,83.33

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,GOOD,61,0.005,0.011,0.009,0.017,0.022,0.023,0.033,0.042,0.053,0.062,0.071,0.086,0.100,0.110,0.127,0.139,0.159,0.175,0.191,0.211,0.224,0.244,0.260,0.277,0.300,0.317,0.335,0.350,0.371,0.390,0.404,0.422,0.440,0.457,0.473,0.487,0.504,0.516,0.530,0.545,0.555,0.567,0.572,0.583,0.592,0.597,0.603,0.608,0.608,0.609,0.603,0.599,0.589,0.583,0.571,0.565,0.557,0.546,0.539,0.532,0.526,,,,,,,,,
2,GOOD,53,0.006,0.009,0.014,0.013,0.020,0.029,0.034,0.044,0.056,0.066,0.081,0.093,0.107,0.123,0.141,0.154,0.170,0.191,0.207,0.225,0.239,0.258,0.275,0.297,0.314,0.330,0.352,0.367,0.384,0.396,0.412,0.427,0.440,0.456,0.470,0.481,0.490,0.497,0.505,0.510,0.514,0.518,0.525,0.521,0.515,0.505,0.500,0.492,0.483,0.474,0.468,0.457,0.453,,,,,,,,,,,,,,,,,
3,GOOD,52,0.005,0.009,0.011,0.017,0.020,0.031,0.039,0.050,0.060,0.071,0.087,0.102,0.120,0.136,0.149,0.172,0.191,0.208,0.227,0.247,0.268,0.284,0.304,0.325,0.347,0.362,0.385,0.397,0.416,0.434,0.454,0.467,0.481,0.495,0.510,0.518,0.528,0.540,0.544,0.551,0.556,0.558,0.557,0.550,0.541,0.529,0.521,0.513,0.507,0.499,0.492,0.482,,,,,,,,,,,,,,,,,,
4,GOOD,70,0.006,0.010,0.008,0.013,0.015,0.020,0.024,0.027,0.033,0.037,0.044,0.057,0.059,0.069,0.082,0.090,0.099,0.107,0.118,0.128,0.139,0.152,0.166,0.177,0.185,0.202,0.209,0.225,0.236,0.248,0.261,0.271,0.283,0.297,0.307,0.318,0.329,0.343,0.351,0.364,0.376,0.382,0.397,0.404,0.412,0.421,0.426,0.437,0.441,0.450,0.456,0.458,0.461,0.468,0.469,0.471,0.473,0.469,0.464,0.460,0.455,0.445,0.440,0.440,0.432,0.430,0.423,0.417,0.409,0.409
5,NG,52,0.006,0.006,0.012,0.012,0.018,0.022,0.027,0.036,0.046,0.052,0.062,0.073,0.084,0.092,0.103,0.117,0.133,0.144,0.155,0.171,0.186,0.196,0.211,0.224,0.240,0.247,0.260,0.275,0.289,0.299,0.311,0.319,0.328,0.341,0.347,0.354,0.361,0.369,0.372,0.378,0.379,0.380,0.385,0.376,0.371,0.364,0.358,0.352,0.350,0.341,0.338,0.331,,,,,,,,,,,,,,,,,,
6,GOOD,49,0.007,0.012,0.013,0.016,0.023,0.034,0.043,0.058,0.071,0.083,0.102,0.116,0.136,0.157,0.177,0.197,0.214,0.236,0.259,0.282,0.302,0.326,0.346,0.366,0.386,0.410,0.431,0.450,0.468,0.485,0.503,0.514,0.531,0.540,0.554,0.563,0.572,0.580,0.580,0.584,0.575,0.568,0.558,0.551,0.542,0.530,0.524,0.512,0.503,,,,,,,,,,,,,,,,,,,,,
7,GOOD,50,0.007,0.007,0.009,0.016,0.020,0.027,0.034,0.041,0.054,0.067,0.077,0.087,0.101,0.116,0.132,0.148,0.162,0.178,0.194,0.210,0.225,0.241,0.262,0.276,0.294,0.307,0.324,0.337,0.353,0.367,0.377,0.389,0.401,0.411,0.420,0.432,0.434,0.440,0.447,0.450,0.447,0.445,0.437,0.430,0.422,0.414,0.406,0.399,0.392,0.388,,,,,,,,,,,,,,,,,,,,
8,GOOD,69,0.011,0.010,0.012,0.011,0.014,0.020,0.026,0.027,0.037,0.039,0.049,0.060,0.066,0.074,0.086,0.097,0.103,0.117,0.127,0.137,0.152,0.164,0.174,0.188,0.201,0.212,0.230,0.240,0.252,0.266,0.278,0.290,0.305,0.317,0.330,0.345,0.355,0.364,0.380,0.391,0.401,0.413,0.424,0.428,0.438,0.449,0.454,0.462,0.470,0.474,0.479,0.486,0.487,0.490,0.492,0.494,0.494,0.488,0.485,0.475,0.473,0.465,0.463,0.454,0.451,0.444,0.438,0.431,0.430,
9,GOOD,56,0.011,0.011,0.013,0.017,0.023,0.030,0.034,0.044,0.059,0.073,0.084,0.099,0.115,0.127,0.146,0.164,0.179,0.196,0.214,0.235,0.253,0.274,0.295,0.318,0.333,0.357,0.374,0.392,0.414,0.429,0.445,0.464,0.483,0.501,0.511,0.528,0.541,0.552,0.563,0.574,0.582,0.589,0.593,0.598,0.600,0.603,0.599,0.585,0.577,0.572,0.560,0.557,0.547,0.538,0.527,0.522,,,,,,,,,,,,,,
10,NG,66,0.008,0.011,0.007,0.013,0.012,0.016,0.023,0.024,0.028,0.038,0.039,0.044,0.053,0.063,0.071,0.077,0.087,0.095,0.100,0.111,0.123,0.132,0.142,0.150,0.158,0.168,0.177,0.186,0.199,0.206,0.220,0.228,0.238,0.250,0.260,0.266,0.275,0.285,0.290,0.302,0.306,0.317,0.321,0.326,0.337,0.338,0.344,0.348,0.351,0.355,0.362,0.361,0.364,0.365,0.362,0.357,0.355,0.348,0.344,0.342,0.333,0.333,0.328,0.320,0.316,0.315,,,,
