모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_B07,260903-B01,SAMPLE_2,0.40,12,10,2,83.33

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1,GOOD,54,0.011,0.011,0.009,0.012,0.020,0.028,0.036,0.045,0.052,0.067,0.079,0.088,0.106,0.116,0.137,0.152,0.169,0.184,0.201,0.216,0.238,0.250,0.271,0.286,0.306,0.321,0.341,0.358,0.375,0.393,0.403,0.418,0.437,0.451,0.462,0.473,0.484,0.494,0.502,0.511,0.512,0.521,0.519,0.521,0.521,0.510,0.502,0.495,0.487,0.482,0.474,0.464,0.458,0.449,,,,,,,,,,,,,,,,,,
2,GOOD,72,0.007,0.006,0.010,0.011,0.013,0.016,0.020,0.026,0.035,0.040,0.045,0.055,0.061,0.069,0.077,0.086,0.095,0.109,0.117,0.127,0.144,0.152,0.163,0.174,0.190,0.199,0.211,0.222,0.237,0.247,0.264,0.275,0.288,0.300,0.310,0.324,0.334,0.346,0.361,0.372,0.383,0.393,0.401,0.409,0.423,0.429,0.440,0.448,0.454,0.459,0.470,0.474,0.481,0.482,0.489,0.492,0.493,0.492,0.494,0.492,0.487,0.482,0.475,0.470,0.465,0.459,0.450,0.448,0.439,0.437,0.428,0.428
3,GOOD,58,0.006,0.007,0.009,0.014,0.020,0.026,0.035,0.043,0.054,0.062,0.072,0.086,0.103,0.115,0.132,0.146,0.164,0.181,0.198,0.217,0.234,0.252,0.271,0.286,0.302,0.320,0.339,0.356,0.377,0.396,0.409,0.426,0.446,0.459,0.471,0.489,0.503,0.513,0.527,0.533,0.544,0.553,0.559,0.567,0.574,0.576,0.574,0.577,0.565,0.561,0.554,0.543,0.534,0.531,0.521,0.512,0.504,0.498,,,,,,,,,,,,,,
4,GOOD,57,0.007,0.010,0.013,0.016,0.015,0.025,0.028,0.035,0.043,0.056,0.064,0.073,0.082,0.098,0.111,0.123,0.137,0.149,0.164,0.177,0.189,0.206,0.218,0.233,0.248,0.268,0.278,0.292,0.306,0.325,0.336,0.348,0.361,0.374,0.388,0.398,0.407,0.416,0.426,0.431,0.441,0.450,0.453,0.454,0.457,0.461,0.460,0.455,0.446,0.445,0.437,0.432,0.426,0.418,0.410,0.407,0.400,,,,,,,,,,,,,,,
5,NG,70,0.006,0.009,0.008,0.009,0.013,0.016,0.020,0.022,0.029,0.037,0.038,0.044,0.053,0.057,0.068,0.073,0.081,0.094,0.103,0.112,0.119,0.129,0.138,0.144,0.155,0.166,0.178,0.186,0.198,0.205,0.219,0.230,0.238,0.246,0.256,0.266,0.275,0.287,0.292,0.304,0.313,0.319,0.329,0.336,0.345,0.351,0.360,0.363,0.366,0.373,0.375,0.379,0.386,0.390,0.388,0.390,0.395,0.388,0.388,0.379,0.379,0.370,0.368,0.364,0.358,0.355,0.352,0.345,0.345,0.337,,
6,GOOD,62,0.010,0.008,0.010,0.014,0.018,0.024,0.030,0.041,0.048,0.057,0.069,0.081,0.092,0.110,0.121,0.139,0.151,0.172,0.185,0.200,0.221,0.240,0.256,0.273,0.293,0.306,0.325,0.344,0.365,0.382,0.399,0.416,0.431,0.448,0.462,0.478,0.494,0.510,0.519,0.536,0.549,0.556,0.569,0.578,0.588,0.591,0.598,0.603,0.604,0.612,0.607,0.605,0.597,0.589,0.581,0.573,0.564,0.558,0.549,0.539,0.531,0.527,,,,,,,,,,
7,GOOD,63,0.007,0.008,0.012,0.014,0.018,0.026,0.027,0.035,0.048,0.056,0.062,0.076,0.085,0.097,0.113,0.126,0.140,0.156,0.168,0.187,0.200,0.217,0.234,0.249,0.266,0.281,0.299,0.315,0.329,0.349,0.363,0.377,0.394,0.407,0.423,0.439,0.453,0.469,0.481,0.489,0.505,0.516,0.521,0.531,0.542,0.546,0.554,0.559,0.562,0.569,0.569,0.566,0.559,0.555,0.543,0.540,0.533,0.523,0.520,0.509,0.503,0.497,0.492,,,,,,,,,
8,GOOD,53,0.011,0.006,0.009,0.017,0.017,0.023,0.033,0.042,0.047,0.057,0.070,0.082,0.094,0.109,0.120,0.136,0.146,0.163,0.178,0.192,0.207,0.226,0.242,0.253,0.272,0.289,0.300,0.314,0.332,0.347,0.357,0.368,0.385,0.391,0.406,0.411,0.422,0.431,0.434,0.443,0.444,0.449,0.449,0.450,0.442,0.433,0.426,0.421,0.415,0.408,0.400,0.393,0.390,,,,,,,,,,,,,,,,,,,
9,GOOD,48,0.006,0.009,0.010,0.017,0.024,0.038,0.046,0.057,0.072,0.090,0.106,0.125,0.143,0.161,0.184,0.205,0.228,0.249,0.274,0.294,0.320,0.342,0.361,0.387,0.408,0.431,0.447,0.471,0.487,0.507,0.521,0.537,0.548,0.560,0.574,0.583,0.588,0.592,0.597,0.593,0.582,0.571,0.564,0.555,0.545,0.532,0.524,0.511,,,,,,,,,,,,,,,,,,,,,,,,
10,NG,71,0.008,0.009,0.011,0.012,0.012,0.017,0.019,0.023,0.029,0.033,0.041,0.046,0.052,0.058,0.064,0.070,0.081,0.089,0.097,0.108,0.118,0.123,0.134,0.145,0.154,0.162,0.173,0.180,0.194,0.200,0.211,0.224,0.229,0.241,0.250,0.262,0.271,0.279,0.290,0.294,0.305,0.312,0.323,0.329,0.340,0.346,0.351,0.356,0.363,0.370,0.374,0.374,0.381,0.381,0.389,0.387,0.387,0.393,0.384,0.385,0.381,0.373,0.371,0.366,0.360,0.361,0.354,0.348,0.343,0.341,0.336,
