모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_B07,260904-B01,SAMPLE_2,0.40,12,10,2,83.33

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,GOOD,50,0.007,0.007,0.011,0.013,0.019,0.028,0.033,0.043,0.052,0.063,0.078,0.091,0.106,0.118,0.132,0.147,0.164,0.181,0.199,0.214,0.228,0.247,0.266,0.279,0.294,0.313,0.325,0.344,0.359,0.373,0.384,0.395,0.406,0.416,0.424,0.435,0.441,0.449,0.449,0.454,0.457,0.447,0.440,0.438,0.429,0.419,0.411,0.408,0.399,0.393,,,,,,,,,,,,,,,,,,,,
2,GOOD,68,0.007,0.008,0.013,0.015,0.016,0.019,0.025,0.035,0.043,0.051,0.061,0.069,0.082,0.091,0.104,0.119,0.131,0.148,0.162,0.176,0.190,0.204,0.223,0.234,0.252,0.267,0.287,0.305,0.320,0.334,0.351,0.366,0.387,0.402,0.413,0.433,0.445,0.460,0.473,0.488,0.504,0.515,0.529,0.538,0.550,0.562,0.569,0.577,0.588,0.592,0.596,0.603,0.608,0.608,0.610,0.609,0.605,0.599,0.589,0.581,0.575,0.567,0.564,0.554,0.551,0.540,0.533,0.528,,
3,GOOD,58,0.006,0.006,0.011,0.014,0.020,0.025,0.028,0.036,0.043,0.052,0.062,0.070,0.080,0.092,0.104,0.121,0.131,0.146,0.158,0.175,0.185,0.201,0.212,0.232,0.241,0.260,0.274,0.288,0.301,0.314,0.330,0.344,0.354,0.367,0.378,0.388,0.403,0.409,0.419,0.427,0.437,0.446,0.447,0.456,0.458,0.463,0.459,0.461,0.451,0.445,0.443,0.436,0.427,0.421,0.414,0.411,0.402,0.399,,,,,,,,,,,,
4,GOOD,53,0.006,0.011,0.009,0.013,0.022,0.030,0.039,0.046,0.058,0.065,0.078,0.093,0.107,0.122,0.138,0.155,0.172,0.188,0.207,0.223,0.245,0.259,0.281,0.298,0.318,0.333,0.353,0.367,0.385,0.404,0.415,0.431,0.448,0.458,0.470,0.486,0.496,0.501,0.508,0.519,0.519,0.525,0.530,0.528,0.520,0.508,0.500,0.496,0.488,0.479,0.468,0.465,0.453,,,,,,,,,,,,,,,,,
5,NG,61,0.006,0.006,0.011,0.012,0.015,0.016,0.025,0.026,0.036,0.043,0.049,0.055,0.061,0.068,0.079,0.089,0.096,0.105,0.119,0.125,0.137,0.147,0.161,0.171,0.181,0.190,0.206,0.214,0.228,0.238,0.246,0.260,0.266,0.278,0.290,0.298,0.303,0.315,0.322,0.330,0.335,0.342,0.346,0.357,0.356,0.363,0.368,0.369,0.368,0.367,0.369,0.363,0.357,0.351,0.346,0.340,0.338,0.332,0.326,0.324,0.319,,,,,,,,,
6,GOOD,57,0.006,0.010,0.014,0.014,0.020,0.024,0.034,0.041,0.050,0.060,0.069,0.085,0.099,0.107,0.125,0.138,0.155,0.167,0.188,0.204,0.219,0.237,0.252,0.268,0.288,0.302,0.322,0.335,0.354,0.370,0.382,0.398,0.416,0.431,0.444,0.453,0.464,0.476,0.486,0.497,0.506,0.513,0.518,0.521,0.527,0.529,0.528,0.518,0.516,0.509,0.499,0.492,0.485,0.479,0.472,0.463,0.455,,,,,,,,,,,,,
7,GOOD,61,0.008,0.009,0.011,0.015,0.021,0.024,0.033,0.035,0.050,0.055,0.067,0.078,0.090,0.106,0.116,0.129,0.143,0.159,0.174,0.193,0.206,0.226,0.242,0.256,0.277,0.290,0.308,0.325,0.339,0.356,0.373,0.393,0.405,0.422,0.437,0.447,0.460,0.478,0.489,0.501,0.511,0.521,0.528,0.539,0.543,0.550,0.557,0.558,0.558,0.560,0.556,0.546,0.538,0.531,0.525,0.520,0.513,0.504,0.500,0.491,0.486,,,,,,,,,
8,GOOD,70,0.010,0.010,0.009,0.014,0.016,0.016,0.022,0.026,0.033,0.041,0.047,0.058,0.064,0.071,0.084,0.093,0.100,0.110,0.119,0.133,0.146,0.157,0.166,0.183,0.192,0.204,0.215,0.229,0.244,0.258,0.271,0.282,0.293,0.307,0.319,0.333,0.344,0.354,0.363,0.375,0.388,0.395,0.405,0.416,0.425,0.431,0.443,0.447,0.457,0.461,0.467,0.471,0.479,0.481,0.480,0.482,0.486,0.483,0.478,0.471,0.469,0.458,0.456,0.449,0.446,0.441,0.434,0.431,0.425,0.421
9,GOOD,66,0.005,0.009,0.012,0.013,0.016,0.024,0.029,0.035,0.045,0.056,0.064,0.074,0.086,0.099,0.114,0.126,0.139,0.153,0.168,0.184,0.197,0.218,0.232,0.251,0.267,0.280,0.302,0.319,0.334,0.354,0.368,0.387,0.400,0.419,0.431,0.447,0.461,0.480,0.490,0.509,0.516,0.530,0.545,0.552,0.565,0.572,0.585,0.593,0.599,0.604,0.605,0.609,0.613,0.613,0.609,0.599,0.591,0.589,0.581,0.570,0.566,0.558,0.552,0.544,0.534,0.529,,,,
10,NG,62,0.007,0.009,0.011,0.014,0.014,0.018,0.023,0.030,0.032,0.040,0.047,0.056,0.062,0.075,0.079,0.093,0.102,0.110,0.121,0.135,0.142,0.152,0.165,0.176,0.192,0.203,0.211,0.223,0.236,0.244,0.261,0.272,0.279,0.290,0.301,0.309,0.318,0.329,0.341,0.344,0.351,0.363,0.365,0.375,0.379,0.382,0.384,0.392,0.393,0.396,0.397,0.392,0.383,0.377,0.374,0.369,0.363,0.360,0.357,0.350,0.343,0.337,,,,,,,,
