모델명,SAMPLE_SOFC_2,LOT NO.,LOT0301,작업자,SAMPLE,SPEC,0.40,생산수량,12,GOOD,9,NG,3,Yield(%),75.00

NO.,판정결과,LOW DATA 1 (kgf),LOW DATA 2 (kgf),LOW DATA 3 (kgf),LOW DATA 4 (kgf),LOW DATA 5 (kgf),LOW DATA 6 (kgf),LOW DATA 7 (kgf),LOW DATA 8 (kgf),LOW DATA 9 (kgf),LOW DATA 10 (kgf),LOW DATA 11 (kgf),LOW DATA 12 (kgf),LOW DATA 13 (kgf),LOW DATA 14 (kgf),LOW DATA 15 (kgf),LOW DATA 16 (kgf),LOW DATA 17 (kgf),LOW DATA 18 (kgf),LOW DATA 19 (kgf),LOW DATA 20 (kgf),LOW DATA 21 (kgf),LOW DATA 22 (kgf),LOW DATA 23 (kgf),LOW DATA 24 (kgf),LOW DATA 25 (kgf),LOW DATA 26 (kgf),LOW DATA 27 (kgf),LOW DATA 28 (kgf),LOW DATA 29 (kgf),LOW DATA 30 (kgf),LOW DATA 31 (kgf),LOW DATA 32 (kgf),LOW DATA 33 (kgf),LOW DATA 34 (kgf),LOW DATA 35 (kgf),LOW DATA 36 (kgf),LOW DATA 37 (kgf),LOW DATA 38 (kgf),LOW DATA 39 (kgf),LOW DATA 40 (kgf),LOW DATA 41 (kgf),LOW DATA 42 (kgf),LOW DATA 43 (kgf),LOW DATA 44 (kgf),LOW DATA 45 (kgf),LOW DATA 46 (kgf),LOW DATA 47 (kgf),LOW DATA 48 (kgf),LOW DATA 49 (kgf),LOW DATA 50 (kgf),LOW DATA 51 (kgf),LOW DATA 52 (kgf),LOW DATA 53 (kgf),LOW DATA 54 (kgf),LOW DATA 55 (kgf),LOW DATA 56 (kgf),LOW DATA 57 (kgf),LOW DATA 58 (kgf),LOW DATA 59 (kgf),LOW DATA 60 (kgf)
1,NG,0.021000,0.030000,0.037000,0.048000,0.058000,0.067000,0.078000,0.085000,0.095000,0.106000,0.115000,0.125000,0.132000,0.145000,0.154000,0.161000,0.171000,0.181000,0.189000,0.199000,0.208000,0.218000,0.229000,0.239000,0.246000,0.258000,0.266000,0.277000,0.286000,0.296000,0.304000,0.296000,0.285000,0.274000,0.266000,0.258000,0.247000,0.237000,0.229000,0.218000,0.207000,0.198000,0.192000,0.179000,0.171000,0.162000,0.152000,0.142000,0.135000,0.124000,0.115000,0.106000,0.094000,0.086000,0.075000,0.066000,0.057000,0.050000,0.038000,0.028000
2,GOOD,0.021000,0.036000,0.055000,0.074000,0.093000,0.108000,0.127000,0.145000,0.165000,0.180000,0.201000,0.217000,0.233000,0.251000,0.269000,0.287000,0.306000,0.324000,0.341000,0.358000,0.378000,0.397000,0.413000,0.431000,0.448000,0.468000,0.483000,0.502000,0.521000,0.539000,0.557000,0.540000,0.520000,0.503000,0.486000,0.467000,0.448000,0.432000,0.413000,0.396000,0.377000,0.361000,0.343000,0.325000,0.305000,0.289000,0.269000,0.254000,0.234000,0.218000,0.200000,0.179000,0.163000,0.147000,0.126000,0.108000,0.093000,0.074000,0.054000,0.038000
3,GOOD,0.020000,0.033000,0.045000,0.060000,0.074000,0.088000,0.099000,0.114000,0.129000,0.139000,0.155000,0.170000,0.183000,0.197000,0.207000,0.223000,0.237000,0.247000,0.263000,0.274000,0.290000,0.304000,0.315000,0.330000,0.343000,0.355000,0.369000,0.383000,0.397000,0.410000,0.424000,0.410000,0.398000,0.381000,0.370000,0.355000,0.343000,0.330000,0.315000,0.303000,0.290000,0.274000,0.262000,0.248000,0.237000,0.221000,0.207000,0.195000,0.180000,0.170000,0.153000,0.143000,0.128000,0.114000,0.100000,0.086000,0.074000,0.059000,0.047000,0.035000
4,GOOD,0.020000,0.035000,0.051000,0.064000,0.080000,0.095000,0.110000,0.123000,0.139000,0.154000,0.167000,0.183000,0.197000,0.213000,0.225000,0.241000,0.256000,0.271000,0.285000,0.301000,0.317000,0.329000,0.345000,0.359000,0.375000,0.391000,0.404000,0.420000,0.433000,0.449000,0.464000,0.448000,0.433000,0.419000,0.404000,0.389000,0.374000,0.361000,0.347000,0.330000,0.315000,0.300000,0.284000,0.270000,0.255000,0.240000,0.226000,0.211000,0.198000,0.181000,0.170000,0.152000,0.140000,0.122000,0.109000,0.094000,0.079000,0.063000,0.050000,0.033000
5,NG,0.020000,0.030000,0.042000,0.052000,0.065000,0.078000,0.086000,0.097000,0.110000,0.121000,0.132000,0.142000,0.152000,0.167000,0.176000,0.188000,0.201000,0.209000,0.220000,0.231000,0.245000,0.256000,0.266000,0.276000,0.289000,0.299000,0.309000,0.324000,0.334000,0.346000,0.356000,0.343000,0.331000,0.324000,0.311000,0.301000,0.290000,0.278000,0.265000,0.255000,0.242000,0.231000,0.219000,0.208000,0.199000,0.187000,0.178000,0.166000,0.153000,0.142000,0.133000,0.121000,0.111000,0.097000,0.089000,0.074000,0.066000,0.054000,0.041000,0.032000
6,GOOD,0.021000,0.033000,0.046000,0.061000,0.074000,0.088000,0.101000,0.114000,0.126000,0.141000,0.157000,0.170000,0.183000,0.195000,0.211000,0.223000,0.236000,0.251000,0.264000,0.277000,0.291000,0.305000,0.318000,0.332000,0.343000,0.356000,0.372000,0.386000,0.398000,0.409000,0.425000,0.411000,0.399000,0.385000,0.371000,0.356000,0.345000,0.331000,0.316000,0.301000,0.291000,0.276000,0.262000,0.248000,0.238000,0.224000,0.210000,0.194000,0.180000,0.170000,0.154000,0.140000,0.129000,0.113000,0.102000,0.087000,0.076000,0.061000,0.046000,0.033000
7,GOOD,0.021000,0.034000,0.051000,0.062000,0.076000,0.092000,0.106000,0.120000,0.134000,0.149000,0.167000,0.178000,0.196000,0.207000,0.222000,0.237000,0.253000,0.268000,0.279000,0.296000,0.308000,0.325000,0.337000,0.352000,0.369000,0.383000,0.397000,0.412000,0.424000,0.440000,0.455000,0.439000,0.426000,0.413000,0.398000,0.384000,0.370000,0.352000,0.337000,0.326000,0.311000,0.295000,0.279000,0.268000,0.253000,0.237000,0.225000,0.209000,0.192000,0.179000,0.167000,0.149000,0.137000,0.121000,0.108000,0.091000,0.076000,0.063000,0.050000,0.034000
8,GOOD,0.021000,0.036000,0.053000,0.068000,0.084000,0.098000,0.113000,0.128000,0.143000,0.160000,0.175000,0.192000,0.209000,0.223000,0.237000,0.256000,0.271000,0.284000,0.303000,0.318000,0.334000,0.347000,0.363000,0.379000,0.394000,0.411000,0.425000,0.440000,0.458000,0.475000,0.489000,0.473000,0.458000,0.444000,0.426000,0.412000,0.397000,0.378000,0.363000,0.350000,0.334000,0.318000,0.301000,0.284000,0.268000,0.256000,0.239000,0.225000,0.209000,0.193000,0.176000,0.160000,0.144000,0.130000,0.114000,0.098000,0.083000,0.066000,0.052000,0.036000
9,NG,0.020000,0.029000,0.040000,0.048000,0.061000,0.069000,0.079000,0.088000,0.098000,0.106000,0.118000,0.128000,0.136000,0.146000,0.155000,0.166000,0.175000,0.184000,0.196000,0.206000,0.215000,0.224000,0.234000,0.243000,0.255000,0.263000,0.275000,0.283000,0.295000,0.302000,0.313000,0.303000,0.293000,0.284000,0.274000,0.264000,0.254000,0.246000,0.236000,0.223000,0.214000,0.207000,0.196000,0.186000,0.177000,0.167000,0.157000,0.145000,0.137000,0.126000,0.116000,0.107000,0.097000,0.087000,0.081000,0.070000,0.058000,0.051000,0.039000,0.030000
10,GOOD,0.021000,0.036000,0.054000,0.070000,0.088000,0.105000,0.121000,0.141000,0.158000,0.175000,0.192000,0.208000,0.227000,0.242000,0.261000,0.275000,0.295000,0.311000,0.328000,0.347000,0.361000,0.379000,0.395000,0.415000,0.433000,0.447000,0.464000,0.482000,0.500000,0.516000,0.534000,0.516000,0.499000,0.482000,0.465000,0.448000,0.431000,0.412000,0.396000,0.379000,0.362000,0.346000,0.327000,0.312000,0.294000,0.277000,0.261000,0.242000,0.227000,0.207000,0.193000,0.174000,0.157000,0.141000,0.123000,0.105000,0.088000,0.070000,0.055000,0.036000
11,GOOD,0.020000,0.033000,0.045000,0.060000,0.072000,0.085000,0.098000,0.113000,0.128000,0.139000,0.151000,0.165000,0.181000,0.191000,0.204000,0.217000,0.232000,0.246000,0.258000,0.270000,0.283000,0.297000,0.311000,0.326000,0.340000,0.353000,0.364000,0.379000,0.390000,0.402000,0.418000,0.404000,0.391000,0.376000,0.364000,0.350000,0.337000,0.323000,0.310000,0.298000,0.284000,0.273000,0.260000,0.244000,0.233000,0.220000,0.207000,0.193000,0.180000,0.166000,0.152000,0.141000,0.126000,0.111000,0.098000,0.088000,0.075000,0.058000,0.046000,0.034000
12,GOOD,0.021000,0.034000,0.050000,0.067000,0.082000,0.096000,0.110000,0.126000,0.139000,0.158000,0.173000,0.186000,0.200000,0.215000,0.230000,0.246000,0.260000,0.277000,0.294000,0.308000,0.321000,0.338000,0.351000,0.368000,0.381000,0.399000,0.412000,0.430000,0.443000,0.457000,0.473000,0.457000,0.443000,0.428000,0.411000,0.397000,0.383000,0.367000,0.351000,0.338000,0.321000,0.308000,0.290000,0.277000,0.262000,0.246000,0.231000,0.216000,0.199000,0.184000,0.172000,0.157000,0.141000,0.126000,0.112000,0.094000,0.078000,0.064000,0.051000,0.036000
