Time,StartedAt,Station,LotNumber,FileName,OperatorName,Result,PeakLoadKgf,LowerSpecKgf,UpperSpecKgf,SampleCount,DataFileName,Message,DataRowNumber
2026-09-05 10:01:00.000,2026-09-05 10:00:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.460000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",1
2026-09-05 10:02:00.000,2026-09-05 10:01:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.581000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",2
2026-09-05 10:03:00.000,2026-09-05 10:02:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.597000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",3
2026-09-05 10:04:00.000,2026-09-05 10:03:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.515000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",4
2026-09-05 10:05:00.000,2026-09-05 10:04:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.497000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",5
2026-09-05 10:06:00.000,2026-09-05 10:05:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.486000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",6
2026-09-05 10:07:00.000,2026-09-05 10:06:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.515000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",7
2026-09-05 10:08:00.000,2026-09-05 10:07:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.431000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",8
2026-09-05 10:09:00.000,2026-09-05 10:08:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.529000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",9
2026-09-05 10:10:00.000,2026-09-05 10:09:00.000,#1,SAMPLE_20260905_S1,SAMPLE_SOFC_1,SAMPLE,GOOD,0.538000,0.400000,0.400000,60,20260905101400_SAMPLE_20260905_S1_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",10
